PWS ID,lat,lng,FIPS
IL0015350,40.0314366000,-90.9606897000,17001
NJ1616001,40.8811718000,-74.2120629000,34031
AR0000200,35.2970353000,-94.0363153000,05047
MO6010568,38.6083822000,-91.2190416000,29071
IL0895200,42.1275267000,-87.8289548000,17031
OH3900011,41.2736647000,-82.8415763000,39143
TX0610039,33.1828974000,-97.2872402000,48121
WV3301204,38.9926097000,-79.1239239000,54023
WV3300508,40.2720146000,-80.6095187000,54009
PA6430043,41.4847758000,-80.4375687000,42085
VA3081550,36.6859829000,-77.5424809000,51595
TX0750003,29.9055033000,-96.8766470000,48149
CA1710001,39.0262841000,-122.6719304000,06033
OK2002610,35.3128371000,-97.9444913000,40051
MT0000628,45.6769979000,-111.0429339000,30031
VT0005001,43.9756551000,-73.3289141000,50001
FL6290333,27.9552692000,-82.4563199000,12057
VA4103550,37.7259444000,-77.6788173000,51085
MA2280000,42.2190542000,-71.9756990000,25027
OK1020506,35.2578498000,-96.9366888000,40125
KY0400233,37.6195246000,-84.5779957000,21079
NM3503926,35.8100000000,-105.9900000000,35049
SC3820002,33.5318188000,-81.1231540000,45075
MI0000470,43.5944677000,-83.8888647000,26017
IL0250300,38.6358808000,-88.6347744000,17025
KS2013915,38.7538946000,-95.8349868000,20139
PA7360118,39.9831559000,-76.1841226000,42071
PA6240005,41.2907849000,-78.5007657000,42047
NJ1904002,40.9028765000,-74.7090517000,34037
MO1024143,39.4527802000,-94.3421687000,29047
IL0974340,42.1674607000,-87.8844309000,17097
MN1480011,46.5897331000,-94.2175088000,27035
TN0000724,36.2350562000,-87.4439002000,47043
ND5100515,48.6747476000,-102.0826637000,38101
NJ0815001,39.7328920000,-75.1315651000,34015
GA2670000,32.2804623000,-82.1387310000,13267
LA1021005,32.0498810000,-92.1093026000,22021
AR0000488,34.5014817000,-92.6365520000,05125
OH6002712,39.9403453000,-82.0131924000,39119
WV3301705,39.2806451000,-80.3445341000,54033
SC0110002,34.0923375000,-82.5956875000,45001
AL0000555,31.1086113000,-87.0714298000,01053
WA5385550,47.5403732000,-122.6362492000,53035
CA4310022,37.2318159000,-121.7822278000,06085
FL6581591,27.3275324000,-82.3343375000,12115
OH7804303,41.2476902000,-80.6715317000,39155
